first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,target,address,postcode,state,country,property_valuation
Margaretha,Strettle,F,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,0,34 Russell Plaza,4127,QLD,Australia,6
Lurette,Stonnell,F,33,1977-11-09,VP Quality Control,missing,Affluent Customer,N,No,22.0,0,78 Del Sol Hill,2535,NSW,Australia,8
Laurie,Dwerryhouse,F,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,1,54 Sage Plaza,4726,QLD,Australia,1
Cordi,Merman,F,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,0,90 Lawn Parkway,4805,QLD,Australia,4
Hunfredo,Smalley,M,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,1,38726 Ilene Crossing,2212,NSW,Australia,10
Tomasine,Jerche,F,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,0,3496 Brown Drive,2207,NSW,Australia,8
Basilius,Coupe,M,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,1,7188 Cody Way,3350,VIC,Australia,9
Chiquita,Durnall,F,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,0,1 Claremont Park,3931,VIC,Australia,10
Indira,Belt,F,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,1,60 Eagan Circle,4018,QLD,Australia,8
Neron,Verick,M,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,1,89314 Eagle Crest Center,4670,QLD,Australia,2
Trace,Woodhead,M,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,0,2028 Lakewood Place,2480,NSW,Australia,3
Kaila,Allin,F,98,1972-02-26,missing,missing,Affluent Customer,N,Yes,15.0,0,70875 Hudson Point,3212,VIC,Australia,6
Matthew,Jeaycock,M,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,1,543 Killdeer Park,2322,NSW,Australia,4
Rebbecca,Casone,F,46,1975-08-15,Biostatistician II,missing,Mass Customer,N,Yes,8.0,1,22125 Ramsey Drive,3198,VIC,Australia,9
Nolly,Ownsworth,M,63,1994-01-26,VP Quality Control,missing,Affluent Customer,N,No,1.0,0,3107 Calypso Terrace,2210,NSW,Australia,9
Whitby,Schapero,M,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,1,957 Veith Junction,2047,NSW,Australia,10
Fidelio,Dilke,M,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,1,4853 Gulseth Avenue,4503,QLD,Australia,5
Curran,Bentson,M,57,1988-06-22,missing,Financial Services,Mass Customer,N,Yes,13.0,1,9 Michigan Terrace,2145,NSW,Australia,8
Agnella,Gocke,F,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,0,62 Steensland Road,4350,QLD,Australia,3
Loralyn,Wonfor,F,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,1,6 Homewood Avenue,2142,NSW,Australia,8
Linc,Jillions,M,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,1,15 Almo Lane,2029,NSW,Australia,10
Reese,Ensor,M,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,1,690 Glacier Hill Circle,2127,NSW,Australia,10
Abba,Masedon,M,87,1988-06-13,Chief Design Engineer,missing,Mass Customer,N,Yes,13.0,0,89787 Village Green Terrace,4280,QLD,Australia,6
Dalenna,Pinnock,F,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,1,18 Elgar Park,2166,NSW,Australia,9
Niki,Heathcote,M,60,2000-02-08,Physical Therapy Assistant,missing,High Net Worth,N,No,3.0,0,413 Mayer Street,2046,NSW,Australia,9
Nadiya,Champerlen,F,18,1970-02-04,missing,Manufacturing,Mass Customer,N,No,10.0,0,39 3rd Drive,2026,NSW,Australia,10
Kacey,Rowbottom,F,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,1,44516 Katie Parkway,2765,NSW,Australia,7
Sorcha,Roggers,F,38,1979-07-06,missing,IT,Mass Customer,N,Yes,22.0,0,41 Schurz Center,2749,NSW,Australia,8
Ebony,Zini,F,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,0,68150 Boyd Road,2745,NSW,Australia,9
Gerek,Yve,M,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0,0,11474 Westend Hill,3752,VIC,Australia,8
Yale,Tanser,M,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,0,308 Jana Crossing,2153,NSW,Australia,10
Anselm,Gawne,M,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0,0,163 Straubel Trail,2217,NSW,Australia,10
Vernon,missing,M,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0,0,68294 Clarendon Crossing,2230,NSW,Australia,10
Dahlia,Eddoes,F,37,1974-04-21,Information Systems Manager,missing,Affluent Customer,N,No,9.0,0,486 Mariners Cove Plaza,3046,VIC,Australia,7
Heidi,Milner,F,16,1969-06-22,Web Developer II,missing,Mass Customer,N,No,6.0,0,0322 Dryden Court,3183,VIC,Australia,7
Foster,Vannoort,M,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0,0,9 Bonner Road,2070,NSW,Australia,12
Hoyt,Glavias,M,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,0,07041 Briar Crest Lane,2213,NSW,Australia,10
Sammy,Cheese,M,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,0,29466 Hanson Pass,4208,QLD,Australia,6
Minette,Worters,F,16,1960-05-27,Teacher,missing,Affluent Customer,N,Yes,5.0,0,0212 Forest Run Trail,2774,NSW,Australia,8
Pansy,Kiddie,F,94,1969-06-19,missing,missing,Mass Customer,N,Yes,6.0,0,33055 Menomonie Parkway,4133,QLD,Australia,8
Dollie,Sealy,F,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,1,4763 Merchant Avenue,2756,NSW,Australia,8
Rea,Hasser,F,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,1,439 Ridgeway Court,4213,QLD,Australia,9
Shermie,Andrin,M,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,0,2 Clyde Gallagher Lane,4170,QLD,Australia,5
Arch,Van der Kruis,M,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,0,97455 Loeprich Lane,2153,NSW,Australia,9
Tybi,Silliman,F,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,0,9527 Ridgeway Street,2073,NSW,Australia,10
Pablo,Small,M,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,1,7 Jackson Point,3561,VIC,Australia,1
Bee,Blazewicz,F,58,1986-09-04,missing,Health,High Net Worth,N,No,13.0,0,74 Anniversary Junction,2330,NSW,Australia,6
Gleda,Cokely,F,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0,0,2083 Spaight Court,3977,VIC,Australia,8
Kerr,Simmell,M,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0,0,2796 Caliangt Circle,2204,NSW,Australia,12
Rich,Mathiasen,M,78,1958-02-07,Accountant III,missing,Mass Customer,N,Yes,14.0,1,96061 Ludington Place,2086,NSW,Australia,11
Kane,Tixall,M,1,1958-05-21,Analyst Programmer,missing,Mass Customer,N,No,8.0,0,5037 Merchant Crossing,2226,NSW,Australia,11
Job,Sleney,M,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,1,289 Haas Street,2075,NSW,Australia,11
Fields,Langdon,M,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0,1,4423 Bartelt Parkway,2038,NSW,Australia,12
Malynda,Tumber,F,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,0,5 Grim Center,2069,NSW,Australia,12
Benedicto,Hoxey,M,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,1,73042 Roth Crossing,2100,NSW,Australia,11
Cary,Garron,M,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,1,171 Fordem Junction,2233,NSW,Australia,10
Dylan,Meaker,M,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,1,2640 Manley Point,2166,NSW,Australia,9
Jodee,Judkins,F,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0,0,3 Hintze Pass,3133,VIC,Australia,10
Gordon,Gowar,M,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0,0,2 Mcbride Road,3070,VIC,Australia,10
Wallache,Simchenko,M,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,1,67234 Transport Hill,2777,NSW,Australia,7
Nomi,Mallinder,F,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,0,72 Dorton Crossing,3133,VIC,Australia,10
Heath,Olford,M,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,0,6 Heffernan Center,2125,NSW,Australia,11
Arne,Corain,M,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,1,6088 Roxbury Hill,2766,NSW,Australia,8
Allianora,Babalola,F,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0,0,105 Shelley Alley,2209,NSW,Australia,10
Reggie,Mulliner,M,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,1,079 Merry Park,2160,NSW,Australia,9
Tripp,Steed,M,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,0,8722 Summit Alley,2065,NSW,Australia,12
Goran,Kwietek,M,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,0,9554 Artisan Pass,2150,NSW,Australia,10
Langsdon,Tranfield,M,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,1,55850 Butterfield Road,2168,NSW,Australia,9
Ethyl,Runham,F,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,0,68 Little Fleur Crossing,2046,NSW,Australia,12
Odille,Panketh,F,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,1,85688 New Castle Crossing,4171,QLD,Australia,10
Maribeth,Pristnor,F,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,0,8611 Loomis Lane,2155,NSW,Australia,10
Glyn,missing,M,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,0,7909 Pierstorff Crossing,2517,NSW,Australia,9
Pris,Stallebrass,F,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,0,01 Muir Parkway,2096,NSW,Australia,12
Kayle,Mingaud,F,4,1994-03-14,missing,missing,High Net Worth,N,No,3.0,0,0410 Division Junction,2750,NSW,Australia,8
Cody,Blabey,M,16,1978-12-11,Marketing Assistant,missing,Affluent Customer,N,Yes,4.0,1,41 Service Lane,2217,NSW,Australia,11
Sascha,St. Quintin,M,23,2000-07-31,missing,Financial Services,Affluent Customer,N,No,1.0,1,5 Moose Road,3977,VIC,Australia,8
Cele,Evason,F,65,1993-08-29,Analyst Programmer,missing,Mass Customer,N,No,2.0,0,7342 Fieldstone Junction,2093,NSW,Australia,12
Shena,Parren,F,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,0,0 David Terrace,3204,VIC,Australia,11
Gage,Nickless,M,67,1956-05-06,Staff Scientist,missing,Mass Customer,N,No,20.0,0,15239 Northwestern Point,4300,QLD,Australia,4
Sunny,Swindells,F,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,0,60 Oneill Street,2170,NSW,Australia,9
Alberik,Mereweather,M,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,1,8194 Sachtjen Drive,3844,VIC,Australia,1
Scottie,Swiffen,M,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,1,0349 Farmco Terrace,2168,NSW,Australia,8
Nance,Suttling,F,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,1,185 Pennsylvania Way,4226,QLD,Australia,6
Prentice,Pearmain,M,43,1959-11-12,Budget/Accounting Analyst IV,missing,High Net Worth,N,No,19.0,0,432 Longview Circle,3192,VIC,Australia,10
Willey,Chastanet,M,9,1981-12-04,Associate Professor,missing,High Net Worth,N,Yes,9.0,0,5814 Bunker Hill Street,3070,VIC,Australia,7
Sloan,Wagg,M,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0,0,7 Carberry Crossing,2485,NSW,Australia,2
Myles,Pauncefort,M,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0,0,53 Talisman Trail,2097,NSW,Australia,9
Colver,Itter,M,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,0,5 Prairie Rose Road,4817,QLD,Australia,2
Almeta,Kalinsky,F,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0,0,84 Florence Parkway,2516,NSW,Australia,8
Kath,Cunney,F,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0,1,739 Elmside Way,3074,VIC,Australia,8
Darrelle,Antoniewski,F,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0,1,684 Northport Circle,2213,NSW,Australia,10
Norman,Cliff,M,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0,0,8 Hagan Hill,4508,QLD,Australia,4
Merrili,Whitear,F,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,1,0 Pearson Crossing,4405,QLD,Australia,1
Isidro,Cypler,M,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0,0,10918 Merry Way,2452,NSW,Australia,5
Weidar,Silkstone,M,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0,0,97 Coolidge Trail,2142,NSW,Australia,9
Raddy,Delete,M,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0,0,58 Helena Hill,2205,NSW,Australia,7
Jana,Renyard,F,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0,0,352 Forster Place,4132,QLD,Australia,3
Celesta,Willavoys,F,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0,0,12306 Lawn Street,2145,NSW,Australia,8
Eldridge,Fiddeman,M,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,0,19392 7th Trail,4744,QLD,Australia,1
Merna,McCulloch,F,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0,0,1605 Northfield Junction,2158,NSW,Australia,11
Rosalia,Sigart,F,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0,1,9674 Graceland Junction,3201,VIC,Australia,6
Mel,Bennet,M,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0,1,638 Thackeray Junction,4178,QLD,Australia,3
Vaughn,Artin,M,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10.0,0,869 Forster Circle,2112,NSW,Australia,10
Onofredo,Franc,M,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,1,0 Golden Leaf Crossing,2033,NSW,Australia,9
Gar,missing,M,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0,1,215 Lindbergh Trail,4401,QLD,Australia,1
Morrie,Flaxon,M,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0,0,829 Washington Crossing,3186,VIC,Australia,9
Townsend,Trobe,M,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0,0,585 Loomis Court,2097,NSW,Australia,11
Bentley,Fortesquieu,M,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0,1,68063 Blue Bill Park Center,3058,VIC,Australia,9
Kendall,Figg,M,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0,0,15673 Farmco Point,4017,QLD,Australia,6
Jory,Barrabeale,U,71,1970-01-01,Environmental Tech,IT,Mass Customer,N,No,0.0,1,22 Oxford Junction,2315,NSW,Australia,3
Filippo,Ferrara,M,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0,1,7245 Cottonwood Center,2285,NSW,Australia,5
Ricoriki,Matlock,M,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0,0,20382 Spohn Alley,2219,NSW,Australia,11
Rea,Pattrick,F,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0,0,12375 Cambridge Pass,2065,NSW,Australia,11
Jaquith,Maffey,F,69,1981-05-08,Programmer Analyst III,missing,Mass Customer,N,Yes,5.0,0,03 Granby Parkway,3216,VIC,Australia,8
Drucy,Kausche,F,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0,0,939 Coleman Pass,4509,QLD,Australia,7
Bradly,Crosse,M,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0,0,69914 Bowman Place,2330,NSW,Australia,7
Donnie,Brimson,M,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,1,34457 Springview Street,2759,NSW,Australia,9
Stephana,Cardew,F,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0,0,992 Old Shore Trail,2069,NSW,Australia,12
Lorilyn,Walshe,F,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0,1,453 Sheridan Street,2747,NSW,Australia,8
Faydra,Dulieu,F,90,1958-02-13,Junior Executive,missing,Mass Customer,N,No,11.0,0,8 Mccormick Crossing,2227,NSW,Australia,8
Orran,Bogges,M,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0,0,63344 Holmberg Crossing,2025,NSW,Australia,10
Shayla,Rimmington,F,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0,0,9 Huxley Circle,3191,VIC,Australia,11
Chad,Houtby,M,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,0,0 Hazelcrest Road,3025,VIC,Australia,8
Hamlin,Odams,M,99,1984-09-03,Internal Auditor,missing,Affluent Customer,N,No,5.0,0,2 Continental Plaza,2263,NSW,Australia,6
Arin,Matskevich,M,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13.0,0,80 Duke Terrace,2233,NSW,Australia,10
Wake,Durning,M,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18.0,0,860 Hintze Lane,2154,NSW,Australia,11
Tadd,Bloss,M,49,1976-01-21,missing,missing,Mass Customer,N,No,16.0,0,3723 Bunker Hill Circle,2065,NSW,Australia,10
Port,Acuna,M,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15.0,0,5 Corry Court,2119,NSW,Australia,10
Kessia,Helder,F,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14.0,0,65105 Sommers Pass,3016,VIC,Australia,10
Aarika,Van Vuuren,F,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1.0,0,2054 Sommers Pass,4113,QLD,Australia,4
Aldon,Roelofs,M,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,1,22371 Miller Trail,2032,NSW,Australia,10
Elston,Oleszczak,M,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0,1,35807 Oneill Way,4300,QLD,Australia,4
Nathalie,Tideswell,F,95,1969-10-27,missing,Health,High Net Worth,N,Yes,17.0,1,75612 Clarendon Junction,4352,QLD,Australia,6
Reggie,Broggetti,U,8,1970-01-01,General Manager,IT,Affluent Customer,N,Yes,0.0,1,16 Golf View Center,3020,VIC,Australia,6
Alfy,Bruhnke,M,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0,0,93 Iowa Junction,2116,NSW,Australia,9
Jammal,Gever,M,80,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21.0,0,48 Cascade Terrace,3057,VIC,Australia,8
Halli,Davidoff,F,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0,1,13950 Jackson Avenue,2099,NSW,Australia,11
Hilton,Carney,M,54,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0,1,35386 Mockingbird Road,3749,VIC,Australia,4
Ebba,Hanselmann,F,99,1997-01-02,General Manager,Health,Affluent Customer,N,No,1.0,1,2 Randy Point,2766,NSW,Australia,8
Catie,Tosspell,F,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,1,6898 Redwing Park,2148,NSW,Australia,9
Templeton,Hambrook,M,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0,0,52273 Bay Place,3145,VIC,Australia,11
Angelo,Clayal,M,39,1992-04-13,Accountant I,Property,Mass Customer,N,No,10.0,0,272 Montana Avenue,2021,NSW,Australia,8
Ondrea,Pablos,F,25,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0,1,82520 Mifflin Drive,2333,NSW,Australia,5
Matthieu,Bertelmot,M,2,1967-04-03,missing,missing,Affluent Customer,N,No,8.0,0,8 Dixon Parkway,2783,NSW,Australia,7
Esteban,Sewill,M,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0,0,4 Dayton Terrace,2280,NSW,Australia,9
Trisha,Neasham,F,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0,1,216 Barnett Junction,4120,QLD,Australia,8
Pavla,Braunle,F,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9.0,0,8256 Annamark Court,3638,VIC,Australia,1
Lydon,Dahlman,M,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0,1,83012 Dapin Lane,4300,QLD,Australia,4
Dannie,Hissie,F,7,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3.0,0,8 Haas Park,2074,NSW,Australia,10
Nappie,Paolo,M,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0,0,50 Meadow Ridge Way,2880,NSW,Australia,1
Crosby,Walcot,M,80,1979-12-13,missing,Property,Mass Customer,N,Yes,13.0,1,3567 Northfield Lane,2430,NSW,Australia,5
Mireielle,Jeppe,F,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0,0,0059 Brentwood Road,4560,QLD,Australia,7
Pincas,Ather,M,97,1954-01-28,Structural Engineer,missing,Mass Customer,N,No,11.0,1,0274 Oneill Alley,2088,NSW,Australia,10
